Stock,group,p.kept,p.released,kept,released,encounters,frim.dfo,frim.psc,frim.risk1,frim.risk2,tm.dfo,tm.psc,tm.risk1,tm.risk2
Abernathy Cr,Columbia,0.001813237, ,58.05802357,0,58,0,8.418413418,8.418413418,8.418413418,58.05802357,66.47643699,66.47643699,66.47643699
Deschutes,Columbia, ,0.006116208,0,218,218,43.54495413,58.35023853,86.0012844,129.5462385,43.54495413,58.35023853,86.0012844,129.5462385
Little River,Columbia,0.045330916,0.006116208,1451.450589,218,1669,43.54495413,268.810574,296.4616199,340.006574,1494.995543,1720.261163,1747.912209,1791.457163
Lyons Ferry,Columbia,0.000906618, ,29.02901179,0,29,0,4.209206709,4.209206709,4.209206709,29.02901179,33.2382185,33.2382185,33.2382185
Naches,Columbia,0.003626473, ,116.1160471,0,116,0,16.83682684,16.83682684,16.83682684,116.1160471,132.952874,132.952874,132.952874
Big Qualicum,ECVI Fall,0.163191296,0.244648318,5225.222121,8709,13934,1741.798165,3091.666749,4197.708584,5939.506749,6967.020287,8316.88887,9422.930705,11164.72887
Chemainus,ECVI Fall, ,0.009174312,0,327,327,65.31743119,87.5253578,129.0019266,194.3193578,65.31743119,87.5253578,129.0019266,194.3193578
Cowichan,ECVI Fall,0.197642792,0.232415902,6328.324569,8274,14602,1654.708257,3134.916127,4185.65587,5840.364127,7983.032826,9463.240696,10513.98044,12168.6887
Nanaimo ,ECVI Summer,0.001813237,0.003058104,58.05802357,109,167,21.77247706,37.59353268,51.41905562,73.19153268,79.83050064,95.65155626,109.4770792,131.2495563
Puntledge,ECVI Summer,0.001813237,0.003058104,58.05802357,109,167,21.77247706,37.59353268,51.41905562,73.19153268,79.83050064,95.65155626,109.4770792,131.2495563
Adams R,Fraser 4.1,0.033544878, ,1074.073436,0,1074,0,155.7406482,155.7406482,155.7406482,1074.073436,1229.814084,1229.814084,1229.814084
Shuswap lower,Fraser 4.1,0.030825023,0.012232416,986.9864007,435,1422,87.08990826,259.8135052,315.1155969,402.2055052,1074.076309,1246.799906,1302.101998,1389.191906
Shuswap Middle,Fraser 4.1,0.001813237,0.006116208,58.05802357,218,276,43.54495413,66.76865195,94.41969782,137.964652,101.6029777,124.8266755,152.4777214,196.0226755
Thompson River South,Fraser 4.1,0.077969175,0.006116208,2496.495014,218,2714,43.54495413,420.3420155,447.9930614,491.5380155,2540.039968,2916.837029,2944.488075,2988.033029
Nicola River,Fraser 4.2, , ,0,0,0,0,0,0,0,0,0,0,0
