PUBLISHED_DATE,STATUS,ESTIMATE_SOURCE,PFMA,YEAR,MONTH,DISPOSITION,SPECIES,SPECIES_CODE,SCIENTIFIC_NAME,ESTIMATE,STANDARD_ERROR,PERCENT_STANDARD_ERROR
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 13,1981,July,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,30468,3264.254,0.107
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 13,1981,July,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,12874,1653.253,0.128
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 13,1981,July,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,27327,2915.176,0.107
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 14,1981,July,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,26003,2170.618,0.083
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 14,1981,July,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,6846,598.287,0.087
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 14,1981,July,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,19516,1583.951,0.081
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 15,1981,July,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,4027,662.369,0.164
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 15,1981,July,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,1187,207.328,0.175
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 15,1981,July,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,3076,511.128,0.166
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 16,1981,July,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,16381,1587.484,0.097
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 16,1981,July,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,2190,247.101,0.113
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 16,1981,July,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,19579,2241.322,0.114
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 17,1981,July,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,12286,1229.828,0.1
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 17,1981,July,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,5379,493.517,0.092
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 17,1981,July,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,7615,868.689,0.114
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 18,1981,July,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,8368,951.839,0.114
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 18,1981,July,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,3637,465.798,0.128
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 18,1981,July,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,2113,326.238,0.154
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 19,1981,July,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,13920,1411.999,0.101
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 19,1981,July,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,4079,417.459,0.102
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 19,1981,July,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,5280,966.917,0.183
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 20,1981,July,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,8405,1388,0.165
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 20,1981,July,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,1666,276,0.166
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 20,1981,July,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,6476,1057,0.163
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 28,1981,July,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,5338,681.231,0.128
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 28,1981,July,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,817,123.146,0.151
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 28,1981,July,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,3161,371.436,0.118
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 29,1981,July,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,9153,1025.024,0.112
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 29,1981,July,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,1448,164.119,0.113
"AUGUST   01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 29,1981,July,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,6727,883.911,0.131
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 13,1981,August,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,36083,5618.016,0.156
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 13,1981,August,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,8289,1484.773,0.179
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 13,1981,August,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,12135,1652.408,0.136
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 14,1981,August,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,21436,2438.937,0.114
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 14,1981,August,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,7320,844.894,0.115
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 14,1981,August,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,9610,1090.211,0.113
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 15,1981,August,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,2473,479.713,0.194
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 15,1981,August,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,822,212.497,0.259
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 15,1981,August,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,1299,271.437,0.209
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 16,1981,August,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,14618,1233.864,0.084
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 16,1981,August,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,1376,145.386,0.106
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 16,1981,August,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,18686,1870.943,0.1
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 17,1981,August,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,16050,1705.188,0.106
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 17,1981,August,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,6342,702.975,0.111
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 17,1981,August,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,5712,867.985,0.152
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 18,1981,August,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,14501,1373.466,0.095
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 18,1981,August,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,3154,405.284,0.128
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 18,1981,August,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,5155,815.358,0.158
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 19,1981,August,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,14901,2587.332,0.174
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 19,1981,August,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,6156,792.603,0.129
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 19,1981,August,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,2084,484.187,0.232
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 20,1981,August,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,8085,1923,0.238
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 20,1981,August,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,2462,662,0.269
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 20,1981,August,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,2102,547,0.26
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 28,1981,August,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,9066,691.504,0.076
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 28,1981,August,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,436,82.831,0.19
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 28,1981,August,Kept,COHO SALMON,115,ONCORHYNCHUS KISUTCH,7432,658.023,0.089
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 29,1981,August,Effort,BOAT TRIPS,B_TRIPS,BOAT TRIPS,9639,1619.584,0.168
"SEPTEMBER01, 1981 00:00:00",Published Estimate - Full Month,Estimate from standard method,PFMA 29,1981,August,Kept,CHINOOK SALMON,124,ONCORHYNCHUS TSHAWYTSCHA,1161,206.095,0.178
