PUBLISHED_DATE,STATUS,PFMA,YEAR,MONTH,MANAGEMENT,DISPOSITION,SPECIES,ADIPOSE_MARK,SPECIES_CODE,SCIENTIFIC_NAME,ESTIMATE,STANDARD_ERROR,PERCENT_STANDARD_ERROR
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 19,2002,January,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1597,76.58,0.05
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 20,2002,January,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,833,42.94,0.05
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 19,2002,February,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1175,288.36,0.25
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 20,2002,February,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,288,38.29,0.13
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 19,2002,March,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1270,592.92,0.47
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 20,2002,March,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,269,203.67,0.76
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 123,2002,April,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,297,,
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 124,2002,April,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,73,,
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 13,2002,April,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,584,135.19,0.23
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 14,2002,April,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,674,103.84,0.15
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 15,2002,April,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,564,244.24,0.43
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 16,2002,April,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1753,215.70,0.12
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 17,2002,April,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,3081,501.64,0.16
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 18,2002,April,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,1036,168.30,0.16
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 19,2002,April,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,2299,364.30,0.16
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 20,2002,April,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,498,177.63,0.36
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 23,2002,April,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,15,,
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 24,2002,April,AABM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,4,,
"MAY      18, 2021 14:28:45",Preliminary Estimate - Inseason Preliminary Estimate - Inseason - Near Final - Full Month,PFMA 28,2002,April,ISBM,Effort,BOAT TRIPS,Not Applicable,B_TRIPS,,318,124.33,0.39
