"","YEAR","Type","Distinction","Area","Fish"
"1",1981,"Legal","Kept","North Island JST",NA
"2",1981,"Legal","Kept","Northern GST",40904
"3",1981,"Legal","Kept","Southern GST",22374
"4",1981,"Legal","Kept","Saanich-Juan de Fuca",14363
"5",1981,"Legal","Kept","WCVI offshore",NA
"6",1981,"Legal","Kept","WCVI inshore",NA
"7",1982,"Legal","Kept","North Island JST",NA
"8",1982,"Legal","Kept","Northern GST",40156
"9",1982,"Legal","Kept","Southern GST",41526
"10",1982,"Legal","Kept","Saanich-Juan de Fuca",42720
"11",1982,"Legal","Kept","WCVI offshore",NA
"12",1982,"Legal","Kept","WCVI inshore",NA
"13",1983,"Legal","Kept","North Island JST",NA
"14",1983,"Legal","Kept","Northern GST",90408
"15",1983,"Legal","Kept","Southern GST",57133
"16",1983,"Legal","Kept","Saanich-Juan de Fuca",44189
"17",1983,"Legal","Kept","WCVI offshore",NA
"18",1983,"Legal","Kept","WCVI inshore",NA
"19",1984,"Legal","Kept","North Island JST",NA
"20",1984,"Legal","Kept","Northern GST",204645
"21",1984,"Legal","Kept","Southern GST",116127
"22",1984,"Legal","Kept","Saanich-Juan de Fuca",48670
"23",1984,"Legal","Kept","WCVI offshore",NA
"24",1984,"Legal","Kept","WCVI inshore",44162
"25",1985,"Legal","Kept","North Island JST",NA
"26",1985,"Legal","Kept","Northern GST",127806
"27",1985,"Legal","Kept","Southern GST",61562
"28",1985,"Legal","Kept","Saanich-Juan de Fuca",45474
"29",1985,"Legal","Kept","WCVI offshore",NA
"30",1985,"Legal","Kept","WCVI inshore",21587
"31",1986,"Legal","Kept","North Island JST",NA
"32",1986,"Legal","Kept","Northern GST",100424
"33",1986,"Legal","Kept","Southern GST",39434
"34",1986,"Legal","Kept","Saanich-Juan de Fuca",42044
"35",1986,"Legal","Kept","WCVI offshore",NA
"36",1986,"Legal","Kept","WCVI inshore",13158
"37",1987,"Legal","Kept","North Island JST",NA
"38",1987,"Legal","Kept","Northern GST",52711
"39",1987,"Legal","Kept","Southern GST",35415
"40",1987,"Legal","Kept","Saanich-Juan de Fuca",32962
"41",1987,"Legal","Kept","WCVI offshore",NA
"42",1987,"Legal","Kept","WCVI inshore",38283
"43",1988,"Legal","Kept","North Island JST",NA
"44",1988,"Legal","Kept","Northern GST",55460
"45",1988,"Legal","Kept","Southern GST",26772
"46",1988,"Legal","Kept","Saanich-Juan de Fuca",35821
"47",1988,"Legal","Kept","WCVI offshore",NA
"48",1988,"Legal","Kept","WCVI inshore",35820
"49",1989,"Legal","Kept","North Island JST",NA
"50",1989,"Legal","Kept","Northern GST",72072
"51",1989,"Legal","Kept","Southern GST",24913
"52",1989,"Legal","Kept","Saanich-Juan de Fuca",35871
"53",1989,"Legal","Kept","WCVI offshore",NA
"54",1989,"Legal","Kept","WCVI inshore",55239
"55",1990,"Legal","Kept","North Island JST",NA
"56",1990,"Legal","Kept","Northern GST",57011
"57",1990,"Legal","Kept","Southern GST",19612
"58",1990,"Legal","Kept","Saanich-Juan de Fuca",20509
"59",1990,"Legal","Kept","WCVI offshore",NA
"60",1990,"Legal","Kept","WCVI inshore",69723
"61",1991,"Legal","Kept","North Island JST",NA
"62",1991,"Legal","Kept","Northern GST",74608
"63",1991,"Legal","Kept","Southern GST",18944
"64",1991,"Legal","Kept","Saanich-Juan de Fuca",14654
"65",1991,"Legal","Kept","WCVI offshore",NA
"66",1991,"Legal","Kept","WCVI inshore",85983
"67",1992,"Legal","Kept","North Island JST",NA
"68",1992,"Legal","Kept","Northern GST",73634
"69",1992,"Legal","Kept","Southern GST",18796
"70",1992,"Legal","Kept","Saanich-Juan de Fuca",18931
"71",1992,"Legal","Kept","WCVI offshore",NA
"72",1992,"Legal","Kept","WCVI inshore",53010
"73",1993,"Legal","Kept","North Island JST",NA
"74",1993,"Legal","Kept","Northern GST",78983
"75",1993,"Legal","Kept","Southern GST",25330
"76",1993,"Legal","Kept","Saanich-Juan de Fuca",14532
"77",1993,"Legal","Kept","WCVI offshore",NA
"78",1993,"Legal","Kept","WCVI inshore",73321
"79",1994,"Legal","Kept","North Island JST",NA
"80",1994,"Legal","Kept","Northern GST",44077
"81",1994,"Legal","Kept","Southern GST",10444
"82",1994,"Legal","Kept","Saanich-Juan de Fuca",10227
"83",1994,"Legal","Kept","WCVI offshore",NA
"84",1994,"Legal","Kept","WCVI inshore",64846
"85",1995,"Legal","Kept","North Island JST",NA
"86",1995,"Legal","Kept","Northern GST",38032
"87",1995,"Legal","Kept","Southern GST",9541
"88",1995,"Legal","Kept","Saanich-Juan de Fuca",14600
"89",1995,"Legal","Kept","WCVI offshore",NA
"90",1995,"Legal","Kept","WCVI inshore",29857
"91",1996,"Legal","Kept","North Island JST",NA
"92",1996,"Legal","Kept","Northern GST",55114
"93",1996,"Legal","Kept","Southern GST",14813
"94",1996,"Legal","Kept","Saanich-Juan de Fuca",19578
"95",1996,"Legal","Kept","WCVI offshore",NA
"96",1996,"Legal","Kept","WCVI inshore",5939
"97",1997,"Legal","Kept","North Island JST",NA
"98",1997,"Legal","Kept","Northern GST",35287
"99",1997,"Legal","Kept","Southern GST",7375
"100",1997,"Legal","Kept","Saanich-Juan de Fuca",17218
"101",1997,"Legal","Kept","WCVI offshore",NA
"102",1997,"Legal","Kept","WCVI inshore",53755
"103",1998,"Legal","Kept","North Island JST",NA
"104",1998,"Legal","Kept","Northern GST",10145
"105",1998,"Legal","Kept","Southern GST",4144
"106",1998,"Legal","Kept","Saanich-Juan de Fuca",9830
"107",1998,"Legal","Kept","WCVI offshore",NA
"108",1998,"Legal","Kept","WCVI inshore",59558
"109",1999,"Legal","Kept","North Island JST",NA
"110",1999,"Legal","Kept","Northern GST",23228
"111",1999,"Legal","Kept","Southern GST",11796
"112",1999,"Legal","Kept","Saanich-Juan de Fuca",13740
"113",1999,"Legal","Kept","WCVI offshore",NA
"114",1999,"Legal","Kept","WCVI inshore",80861
"115",2000,"Legal","Kept","North Island JST",5718
"116",2000,"Legal","Kept","Northern GST",17292
"117",2000,"Legal","Kept","Southern GST",4556
"118",2000,"Legal","Kept","Saanich-Juan de Fuca",15481
"119",2000,"Legal","Kept","WCVI offshore",14414
"120",2000,"Legal","Kept","WCVI inshore",26692
"121",2001,"Legal","Kept","North Island JST",3763
"122",2001,"Legal","Kept","Northern GST",21493
"123",2001,"Legal","Kept","Southern GST",9736
"124",2001,"Legal","Kept","Saanich-Juan de Fuca",23857
"125",2001,"Legal","Kept","WCVI offshore",15756
"126",2001,"Legal","Kept","WCVI inshore",14387
"127",2002,"Legal","Kept","North Island JST",2331
"128",2002,"Legal","Kept","Northern GST",43746
"129",2002,"Legal","Kept","Southern GST",9162
"130",2002,"Legal","Kept","Saanich-Juan de Fuca",24979
"131",2002,"Legal","Kept","WCVI offshore",27604
"132",2002,"Legal","Kept","WCVI inshore",39776
"133",2003,"Legal","Kept","North Island JST",7213
"134",2003,"Legal","Kept","Northern GST",14042
"135",2003,"Legal","Kept","Southern GST",6232
"136",2003,"Legal","Kept","Saanich-Juan de Fuca",27771
"137",2003,"Legal","Kept","WCVI offshore",23446
"138",2003,"Legal","Kept","WCVI inshore",54564
"139",2004,"Legal","Kept","North Island JST",12794
"140",2004,"Legal","Kept","Northern GST",10079
"141",2004,"Legal","Kept","Southern GST",3527
"142",2004,"Legal","Kept","Saanich-Juan de Fuca",40912
"143",2004,"Legal","Kept","WCVI offshore",33778
"144",2004,"Legal","Kept","WCVI inshore",66525
"145",2005,"Legal","Kept","North Island JST",12007
"146",2005,"Legal","Kept","Northern GST",10393
"147",2005,"Legal","Kept","Southern GST",1671
"148",2005,"Legal","Kept","Saanich-Juan de Fuca",30717
"149",2005,"Legal","Kept","WCVI offshore",42533
"150",2005,"Legal","Kept","WCVI inshore",51705
"151",2006,"Legal","Kept","North Island JST",7237
"152",2006,"Legal","Kept","Northern GST",9756
"153",2006,"Legal","Kept","Southern GST",2218
"154",2006,"Legal","Kept","Saanich-Juan de Fuca",26646
