year,month,area,category,value,se
2023,March,19 (GS),effort,298,0.2
2023,March,19 (JDF),effort,560,0.22
2023,March,20 (East),effort,460,0.12
2023,March,19 (GS),kept,136,0.48
2023,March,19 (JDF),kept,517,0.23
2023,March,20 (East),kept,439,0.17
2023,March,19 (GS),released,326,0.52
2023,March,19 (JDF),released,937,0.32
2023,March,20 (East),released,1169,0.19
2022,March,19 (GS),effort,384,0.21
2022,March,19 (JDF),effort,746,0.32
2022,March,20 (East),effort,489,0.22
2022,March,19 (GS),kept,50,0.45
2022,March,19 (JDF),kept,264,0.53
2022,March,20 (East),kept,500,0.2
2022,March,19 (GS),released,215,0.46
2022,March,19 (JDF),released,219,0.6
2022,March,20 (East),released,544,0.26
2024,March,19 (GS),effort,481,0.47
2024,March,19 (JDF),effort,796,0.21
2024,March,20 (East),effort,781,0.16
2024,March,19 (GS),kept,130,0.54
2024,March,19 (JDF),kept,230,0.33
2024,March,20 (East),kept,202,0.29
2024,March,19 (GS),released,473,0.59
2024,March,19 (JDF),released,487,0.3
2024,March,20 (East),released,436,0.22
2021,March,19 (GS),effort,488,0.19
2021,March,19 (JDF),effort,1547,0.24
2021,March,20 (East),effort,778,0.2
2021,March,19 (GS),kept,102,0.45
2021,March,19 (JDF),kept,508,0.39
2021,March,20 (East),kept,746,0.27
2021,March,19 (GS),released,429,0.55
2021,March,19 (JDF),released,564,0.45
2021,March,20 (East),released,1206,0.28
